Date/Time;New-York;Los Angeles;;;
 01/01  01:00:00;760,4329842;860,9725791;;;
 01/01  02:00:00;805,2597981;860,9739176;;;
 01/01  03:00:00;813,3812361;857,4030626;;;
 01/01  04:00:00;793,7132326;854,0954407;;;
 01/01  05:00:00;783,6216338;861,8164671;;;
 01/01  06:00:00;775,8040063;859,9529367;;;
 01/01  07:00:00;849,9986952;931,7397086;;;
 01/01  08:00:00;856,8369945;923,2198994;;;
 01/01  09:00:00;938,2652351;1007,630693;;;
 01/01  10:00:00;932,7161945;1007,115943;;;
 01/01  11:00:00;951,1338168;1018,348938;;;
 01/01  12:00:00;977,8914581;1021,396493;;;
 01/01  13:00:00;1029,575892;1012,167384;;;
 01/01  14:00:00;1079,426293;989,1085667;;;
 01/01  15:00:00;1102,856348;975,2782501;;;
 01/01  16:00:00;1089,840937;971,5363758;;;
 01/01  17:00:00;1013,435515;966,7210664;;;
 01/01  18:00:00;913,7224493;946,1360393;;;
 01/01  19:00:00;862,0198087;914,8470927;;;
 01/01  20:00:00;848,3302758;908,0445775;;;
 01/01  21:00:00;812,2611673;888,2229227;;;
 01/01  22:00:00;803,7498532;889,8522458;;;
 01/01  23:00:00;781,9911505;875,7149943;;;
 01/01  24:00:00;765,5953117;873,9618264;;;
 01/02  01:00:00;736,7034434;871,1203905;;;
 01/02  02:00:00;712,9372745;871,2616339;;;
 01/02  03:00:00;699,0081827;868,6156485;;;
 01/02  04:00:00;688,2859713;868,6668675;;;
 01/02  05:00:00;765,0201976;961,2344301;;;
 01/02  06:00:00;781,0691846;962,4713139;;;
 01/02  07:00:00;985,0080052;1191,215385;;;
 01/02  08:00:00;1089,067117;1297,93265;;;
 01/02  09:00:00;1124,011148;1339,56662;;;
 01/02  10:00:00;1167,58648;1375,88075;;;
 01/02  11:00:00;1199,869291;1386,931104;;;
 01/02  12:00:00;1228,263342;1381,154331;;;
 01/02  13:00:00;1208,013212;1335,249123;;;
 01/02  14:00:00;1260,836249;1369,659967;;;
 01/02  15:00:00;1282,152246;1369,844738;;;
 01/02  16:00:00;1296,593489;1369,605601;;;
 01/02  17:00:00;1300,529472;1379,848487;;;
 01/02  18:00:00;1292,328181;1391,405291;;;
 01/02  19:00:00;1008,618033;1126,214599;;;
 01/02  20:00:00;1002,325867;1119,642626;;;
 01/02  21:00:00;865,5201998;985,4496264;;;
 01/02  22:00:00;832,3121511;945,9935558;;;
 01/02  23:00:00;775,9719993;878,4084939;;;
 01/02  24:00:00;776,3790797;878,9327762;;;
