;name;address;latitude;longitude;avg_rating;avg_price;category;review_count
0;友乐迪斯科歌舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区共和路318号;31.24413;121.45565;30.0;0.0;KTV;3
1;七重天歌舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区南京东路627号七重天宾馆7楼;31.235165;121.47873;30.0;0.0;KTV;7
2;高歌量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区金沙江路588号;31.232483;121.4018;30.0;33.0;KTV;372
3;大地星空KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区文定路205号4楼;31.186247;121.4305;30.0;0.0;KTV;7
4;豪情KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区四川北路588号B1楼;31.247627;121.48541;30.0;0.0;KTV;7
5;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区西藏中路18号港陆广场3楼;31.229382;121.47868;40.0;45.0;KTV;3648
6;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区淮海中路438号4-5楼;31.22197;121.4709;40.0;49.0;KTV;3480
7;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区陆家嘴西路168号正大广场8楼05号铺;31.236746;121.4992;40.0;56.0;KTV;3538
8;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区顺昌路2号;31.222239;121.47654;40.0;56.0;KTV;1811
9;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区张杨路579号三鑫大厦4-5楼;31.228485;121.51845;40.0;53.0;KTV;2369
10;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区芳甸路199弄40号大拇指广场36号;31.22645;121.5596;40.0;69.0;KTV;2579
11;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区南京东路479号新世界先施休闲港湾6-7楼;31.235855;121.48139;40.0;48.0;KTV;2108
12;汇乐KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);黄浦区黄埭路;31.228783;121.496506;30.0;0.0;KTV;5
13;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区肇嘉浜路1111号美罗城7楼;31.193357;121.43972;40.0;54.0;KTV;4107
14;爱美歌KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区龙华西路585号华富大厦裙房3楼;31.177265;121.44136;40.0;43.0;KTV;1902
15;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区国庠路28号财富广场4楼;31.301958;121.518364;40.0;49.0;KTV;2169
16;扬歌量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区天钥桥路88号汇联商厦4-5楼;31.19315;121.44117;35.0;49.0;KTV;1917
17;文艺俱乐部KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区长乐路398号3楼;31.22094;121.46082;0.0;0.0;KTV;4
18;樱花苑KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);静安区陕西南路;31.221918;121.456894;0.0;0.0;KTV;6
19;钱贯KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区顺昌路206号;31.217754;121.478264;30.0;0.0;KTV;8
20;紫微娱乐(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区海南路80号;31.253616;121.48624;30.0;0.0;KTV;8
21;必爱歌(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);长宁区仙霞路602号3楼;31.205717;121.39031;35.0;36.0;KTV;585
22;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区四平路2500号东方商厦6楼;31.298782;121.5157;40.0;39.0;KTV;1349
23;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区兰溪路125号曹杨影城6楼;31.23867;121.40599;35.0;37.0;KTV;1039
24;好乐迪(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);长宁区仙霞西路88号百联西郊购物中心4楼;31.208508;121.37093;40.0;58.0;KTV;1388
25;巨麦时尚KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区闻喜路981号;31.307808;121.44708;30.0;45.0;KTV;527
26;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区浦东南路1068号中融国际商城7楼;31.22857;121.5152;35.0;52.0;KTV;2081
27;自由港量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区兰坪路202号;31.0043;121.41849;40.0;39.0;KTV;687
28;自由港量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);青浦区公园路258号4-6楼;31.148928;121.12137;40.0;53.0;KTV;226
29;自由港量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区莘东路100号;31.106249;121.37848;40.0;48.0;KTV;502
30;自由港量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);奉贤区奉贤区江海路244号;30.906351;121.45885;40.0;45.0;KTV;235
31;星动力录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区淮海中路1273弄新康花园13号C座;31.213402;121.45192;30.0;0.0;KTV;2
32;上海歌城(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区中山中路188号;31.006952;121.23373;40.0;23.0;KTV;448
33;扬歌量贩式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区临汾路702号2楼;31.310907;121.45345;35.0;59.0;KTV;735
