Years,MVP,Finals MVP,DPOY,Sixth man,MIP,COY,ROY,Champions
1983,Moses Malone,Moses Malone,Sidney Moncrief,Bobby Jones,Aucun,Don Nelson,Michael Jordan,Philadelphia 76ers
1984,Larry Bird,Larry Bird,Sidney Moncrief  ,Kevin McHale,Aucun,Frank Layden,Patrick Ewing,Boston Celtics
1985,Larry Bird,Kareem Abdul-Jabbar,Mark Eaton,Kevin McHale  ,Aucun,Don Nelson  ,Chuck Person,Los Angeles Lakers
1986,Larry Bird,Larry Bird  ,Alvin Robertson,Bill Walton,Alvin Robertson,Mike Fratello,Mark Jackson,Boston Celtics
1987,Magic Johnson,Magic Johnson  ,Michael Cooper ,Ricky Pierce,Dale Ellis,Mike Schuler,Mitch Richmond,Los Angeles Lakers
1988,Michael Jordan,James Worthy,Michael Jordan,Roy Tarpley,Kevin Duckworth,Doug Moe,David Robinson,Los Angeles Lakers
1989,Magic Johnson  ,Joe Dumars,Mark Eaton  ,Eddie Johnson,Kevin Johnson,Cotton Fitzsimmons  ,Derrick Coleman,Detroit Pistons
1990,Magic Johnson  ,Isiah Thomas,Dennis Rodman ,Ricky Pierce  ,Rony Seikaly ,Pat Riley ,Larry Johnson,Detroit Pistons
1991,Michael Jordan   ,Michael Jordan,Dennis Rodman   ,Detlef Schrempf,Scott Skiles,Don Chaney,Shaquille O'Neal,Chicago Bulls
1992,Michael Jordan  ,Michael Jordan   ,David Robinson,Detlef Schrempf  ,Pervis Ellison,Don Nelson  ,Chris Webber,Chicago Bulls
1993,Charles Barkley,Michael Jordan  ,Hakeem Olajuwon,Cliff Robinson,Chris Jackson,Pat Riley  ,Grant Hill,Chicago Bulls
1994,Hakeem Olajuwon,Hakeem Olajuwon,Hakeem Olajuwon   ,Dell Curry,Don MacLean,Lenny Wilkens,Jason Kidd,Houston Rockets
1995,David Robinson,Hakeem Olajuwon  ,Dikembe Mutombo,Anthony Mason,Dana Barros,Del Harris,Damon Stoudamire,Houston Rockets
1996,Michael Jordan   ,Michael Jordan  ,Gary Payton,Toni Kukoc,Gheorghe Muresan,Phil Jackson,Allen Iverson,Chicago Bulls
1997,Karl Malone,Michael Jordan   ,Dikembe Mutombo  ,John Starks,Isaac Austin,Pat Riley  ,Tim Duncan,Chicago Bulls
1998,Michael Jordan,Michael Jordan  ,Dikembe Mutombo  ,Danny Manning,Alan Henderson,Larry Bird,Vince Carter ,Chicago Bulls
1999,Karl Malone  ,Tim Duncan,Alonzo Mourning,Darrell Armstrong,Darrell Armstrong,Mike Dunleavy,Elton Brand,San Antonio Spurs
2000,Shaquille O'Neal,Shaquille O'Neal,Alonzo Mourning  ,Rodney Rogers,Jalen Rose,Doc Rivers ,Steve Francis,Los Angeles Lakers
2001,Allen Iverson,Shaquille O'Neal,Dikembe Mutombo  ,Aaron McKie,Tracy McGrady,Larry Brown,Mike Miller,Los Angeles Lakers
2002,Tim Duncan,Shaquille O'Neal   ,Ben Wallace,Corliss Williamson,Jermaine O'Neal,Rick Carlisle ,Pau Gasol ,Los Angeles Lakers
2003,Tim Duncan  ,Tim Duncan  ,Ben Wallace  ,Bobby Jackson,Gilbert Arenas,Gregg Popovich ,Amar'e Stoudemire,San Antonio Spurs
2004,Kevin Garnett,Chauncey Billups,Ron Artest ,Antawn Jamison,Zach Randolph ,Hubie Brown  ,LeBron James ,Detroit Pistons
2005,Steve Nash,Tim Duncan  ,Ben Wallace  ,Ben Gordon,Bobby Simmons,Mike D'Antoni ,Emeka Okafor ,San Antonio Spurs
2006,Steve Nash,Dwyane Wade ,Ben Wallace  ,Mike Miller,Boris Diaw,Avery Johnson,Chris Paul ,Miami Heat
2007,Dirk Nowitzki ,Tony Parker ,Marcus Camby,Leandro Barbosa,Monta Ellis,Sam Mitchell,Brandon Roy,San Antonio Spurs
2008,Kobe Bryant,Paul Pierce,Kevin Garnett ,Manu Ginobili,Hedo Turkoglu,Byron Scott,Kevin Durant ,Boston Celtics
2009,LeBron James ,Kobe Bryant,Dwight Howard ,Jason Terry,Danny Granger,Mike Brown,Derrick Rose ,Los Angeles Lakers
2010,LeBron James  ,Kobe Bryant  ,Dwight Howard  ,Jamal Crawford ,Aaron Brooks ,Scott Brooks ,Tyreke Evans ,Los Angeles Lakers
2011,Derrick Rose   ,Dirk Nowitzki ,Dwight Howard  ,Lamar Odom,Kevin Love ,Tom Thibodeau ,Blake Griffin  ,Dallas Mavericks
2012,LeBron James  ,LeBron James ,Tyson Chandler ,James Harden ,Ryan Anderson ,Gregg Popovich  ,Kyrie Irving ,Miami Heat
2013,LeBron James  ,LeBron James  ,Marc Gasol ,J. R. Smith ,Paul George ,George Karl,Damian Lillard ,Miami Heat
2014,Kevin Durant ,Kawhi Leonard ,Joakim Noah ,Jamal Crawford  ,Goran Dragic ,Gregg Popovich  ,Michael Carter-Williams ,San Antonio Spurs
2015,Stephen Curry ,Andre Iguodala ,Kawhi Leonard ,Lou Williams ,Jimmy Butler ,Mike Budenholzer ,Andrew Wiggins ,Golden State Warriors
2016,Stephen Curry  ,LeBron James  ,Kawhi Leonard  ,Jamal Crawford  ,C. J. McCollum ,Steve Kerr ,Karl-Anthony Towns ,Cleveland Cavaliers
2017,Russell Westbrook ,Kevin Durant ,Draymond Green  ,Eric Gordon ,Giannis Antetokounmpo ,Mike D'Antoni  ,Malcolm Brogdon ,Golden State Warriors
2018,James Harden ,Kevin Durant  ,Rudy Gobert ,Lou Williams  ,Victor Oladipo ,Dwane Casey ,Ben Simmons ,Golden State Warriors
